"train/epoch","Qwen/Qwen3-32B-low-format - _step","Qwen/Qwen3-32B-low-format - _step__MIN","Qwen/Qwen3-32B-low-format - _step__MAX","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-32B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-14B-low-format - _step","Qwen/Qwen3-14B-low-format - _step__MIN","Qwen/Qwen3-14B-low-format - _step__MAX","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-14B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-0.6B-low-format - _step","Qwen/Qwen3-0.6B-low-format - _step__MIN","Qwen/Qwen3-0.6B-low-format - _step__MAX","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-0.6B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-4B-low-format - _step","Qwen/Qwen3-4B-low-format - _step__MIN","Qwen/Qwen3-4B-low-format - _step__MAX","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-4B-low-format - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-32B - _step","Qwen/Qwen3-32B - _step__MIN","Qwen/Qwen3-32B - _step__MAX","Qwen/Qwen3-32B - train/completions/mean_terminated_length","Qwen/Qwen3-32B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-32B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-14B - _step","Qwen/Qwen3-14B - _step__MIN","Qwen/Qwen3-14B - _step__MAX","Qwen/Qwen3-14B - train/completions/mean_terminated_length","Qwen/Qwen3-14B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-14B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-4B - _step","Qwen/Qwen3-4B - _step__MIN","Qwen/Qwen3-4B - _step__MAX","Qwen/Qwen3-4B - train/completions/mean_terminated_length","Qwen/Qwen3-4B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-4B - train/completions/mean_terminated_length__MAX","Qwen/Qwen3-0.6B - _step","Qwen/Qwen3-0.6B - _step__MIN","Qwen/Qwen3-0.6B - _step__MAX","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length__MIN","Qwen/Qwen3-0.6B - train/completions/mean_terminated_length__MAX"
"0.02","","","","","","","","","","","","","130","130","130","4279.8","4279.8","4279.8","130","130","130","7576.7","7576.7","7576.7","","","","","","","","","","","","","130","130","130","7608.650048828125","7608.650048828125","7608.650048828125","130","130","130","4185.225","4185.225","4185.225"
"0.04","","","","","","","130","130","130","7719.5431640625","7719.5431640625","7719.5431640625","261","261","261","4622.575","4622.575","4622.575","261","261","261","7118.90009765625","7118.90009765625","7118.90009765625","","","","","","","130","130","130","7002.285009765625","7002.285009765625","7002.285009765625","261","261","261","7347.325","7347.325","7347.325","261","261","261","4300.45","4300.45","4300.45"
"0.059880239520958084","130","130","130","6684.575","6684.575","6684.575","","","","","","","","","","","","","","","","","","","130","130","130","5939.79169921875","5939.79169921875","5939.79169921875","","","","","","","","","","","","","","","","","",""
"0.06","","","","","","","","","","","","","392","392","392","4557.1","4557.1","4557.1","392","392","392","6731.80009765625","6731.80009765625","6731.80009765625","","","","","","","","","","","","","392","392","392","7304.14169921875","7304.14169921875","7304.14169921875","392","392","392","4501.325","4501.325","4501.325"
"0.08","","","","","","","261","261","261","7057.740185546875","7057.740185546875","7057.740185546875","523","523","523","4189.65","4189.65","4189.65","523","523","523","5628.525","5628.525","5628.525","","","","","","","261","261","261","6791.3423828125","6791.3423828125","6791.3423828125","523","523","523","6937.575","6937.575","6937.575","523","523","523","4225.25","4225.25","4225.25"
"0.1","","","","","","","","","","","","","654","654","654","3978.55","3978.55","3978.55","654","654","654","6844.500048828125","6844.500048828125","6844.500048828125","","","","","","","","","","","","","654","654","654","5796.925048828125","5796.925048828125","5796.925048828125","654","654","654","4276.225","4276.225","4276.225"
"0.11976047904191617","261","261","261","7654.133349609375","7654.133349609375","7654.133349609375","","","","","","","","","","","","","","","","","","","261","261","261","8782.9333984375","8782.9333984375","8782.9333984375","","","","","","","","","","","","","","","","","",""
"0.12","","","","","","","392","392","392","6395.95419921875","6395.95419921875","6395.95419921875","785","785","785","4050.85","4050.85","4050.85","785","785","785","5663.858349609375","5663.858349609375","5663.858349609375","","","","","","","392","392","392","7744.935986328125","7744.935986328125","7744.935986328125","785","785","785","6626.633349609375","6626.633349609375","6626.633349609375","785","785","785","3942.95","3942.95","3942.95"
"0.14","","","","","","","","","","","","","916","916","916","3781.45","3781.45","3781.45","916","916","916","6713.766796875","6713.766796875","6713.766796875","","","","","","","","","","","","","916","916","916","6541.558349609375","6541.558349609375","6541.558349609375","916","916","916","4363.125","4363.125","4363.125"
"0.16","","","","","","","523","523","523","7145.6904296875","7145.6904296875","7145.6904296875","1047","1047","1047","4023.25","4023.25","4023.25","1047","1047","1047","7114.383349609375","7114.383349609375","7114.383349609375","","","","","","","523","523","523","7161.69326171875","7161.69326171875","7161.69326171875","1047","1047","1047","6132.7583984375","6132.7583984375","6132.7583984375","1047","1047","1047","4484.4","4484.4","4484.4"
"0.17964071856287425","392","392","392","8265.081689453125","8265.081689453125","8265.081689453125","","","","","","","","","","","","","","","","","","","392","392","392","5814.823388671875","5814.823388671875","5814.823388671875","","","","","","","","","","","","","","","","","",""
"0.18","","","","","","","","","","","","","1178","1178","1178","4090.35","4090.35","4090.35","1178","1178","1178","6091.683349609375","6091.683349609375","6091.683349609375","","","","","","","","","","","","","1178","1178","1178","6597.5","6597.5","6597.5","1178","1178","1178","3897.375","3897.375","3897.375"
"0.2","","","","","","","654","654","654","6954.751806640625","6954.751806640625","6954.751806640625","1309","1309","1309","3807.875","3807.875","3807.875","1309","1309","1309","7057.69169921875","7057.69169921875","7057.69169921875","","","","","","","654","654","654","7583.1392578125","7583.1392578125","7583.1392578125","1309","1309","1309","6422.6833984375","6422.6833984375","6422.6833984375","1309","1309","1309","3562.575","3562.575","3562.575"
"0.22","","","","","","","","","","","","","1440","1440","1440","3999.55","3999.55","3999.55","1440","1440","1440","6633.950048828125","6633.950048828125","6633.950048828125","","","","","","","","","","","","","1440","1440","1440","5963.9","5963.9","5963.9","1440","1440","1440","3997.175","3997.175","3997.175"
"0.23952095808383234","523","523","523","6216.128369140625","6216.128369140625","6216.128369140625","","","","","","","","","","","","","","","","","","","523","523","523","5872.8","5872.8","5872.8","","","","","","","","","","","","","","","","","",""
"0.24","","","","","","","785","785","785","7249.74208984375","7249.74208984375","7249.74208984375","1571","1571","1571","4413.725","4413.725","4413.725","1571","1571","1571","6095.36669921875","6095.36669921875","6095.36669921875","","","","","","","785","785","785","7100.2591796875","7100.2591796875","7100.2591796875","1571","1571","1571","5372.508349609375","5372.508349609375","5372.508349609375","1571","1571","1571","3866.3","3866.3","3866.3"
"0.26","","","","","","","","","","","","","1702","1702","1702","3783.075","3783.075","3783.075","1702","1702","1702","5716.483349609375","5716.483349609375","5716.483349609375","","","","","","","","","","","","","1702","1702","1702","5459.65","5459.65","5459.65","1702","1702","1702","3558.075","3558.075","3558.075"
"0.28","","","","","","","916","916","916","7019.263110351562","7019.263110351562","7019.263110351562","1833","1833","1833","3956.875","3956.875","3956.875","1833","1833","1833","6440.825","6440.825","6440.825","","","","","","","916","916","916","7330.067431640625","7330.067431640625","7330.067431640625","1833","1833","1833","6024.69169921875","6024.69169921875","6024.69169921875","1833","1833","1833","3616.2","3616.2","3616.2"
"0.2994011976047904","654","654","654","8940.06015625","8940.06015625","8940.06015625","","","","","","","","","","","","","","","","","","","654","654","654","4437.0583984375","4437.0583984375","4437.0583984375","","","","","","","","","","","","","","","","","",""
"0.3","","","","","","","","","","","","","1964","1964","1964","3319.05","3319.05","3319.05","1964","1964","1964","6729.44169921875","6729.44169921875","6729.44169921875","","","","","","","","","","","","","1964","1964","1964","4974.383349609375","4974.383349609375","4974.383349609375","1964","1964","1964","3291.675","3291.675","3291.675"
"0.32","","","","","","","1047","1047","1047","6982.03837890625","6982.03837890625","6982.03837890625","2095","2095","2095","3509.525","3509.525","3509.525","2095","2095","2095","6223.233349609375","6223.233349609375","6223.233349609375","","","","","","","1047","1047","1047","6787.727490234375","6787.727490234375","6787.727490234375","2095","2095","2095","5776.19169921875","5776.19169921875","5776.19169921875","2095","2095","2095","3373.1","3373.1","3373.1"
"0.34","","","","","","","","","","","","","2226","2226","2226","3057.2","3057.2","3057.2","2226","2226","2226","6148.475","6148.475","6148.475","","","","","","","","","","","","","2226","2226","2226","5215.65","5215.65","5215.65","2226","2226","2226","2916.525","2916.525","2916.525"
"0.3592814371257485","785","785","785","6217.244140625","6217.244140625","6217.244140625","","","","","","","","","","","","","","","","","","","785","785","785","5624.755029296875","5624.755029296875","5624.755029296875","","","","","","","","","","","","","","","","","",""
"0.36","","","","","","","1178","1178","1178","6888.635986328125","6888.635986328125","6888.635986328125","2357","2357","2357","2834.1","2834.1","2834.1","2357","2357","2357","7194.891748046875","7194.891748046875","7194.891748046875","","","","","","","1178","1178","1178","7088.552783203125","7088.552783203125","7088.552783203125","2357","2357","2357","4546.283349609375","4546.283349609375","4546.283349609375","2357","2357","2357","3233.7","3233.7","3233.7"
"0.38","","","","","","","","","","","","","2488","2488","2488","2856","2856","2856","2488","2488","2488","4720.59169921875","4720.59169921875","4720.59169921875","","","","","","","","","","","","","2488","2488","2488","4952.9","4952.9","4952.9","2488","2488","2488","3605.375","3605.375","3605.375"
"0.4","","","","","","","1309","1309","1309","6630.278369140625","6630.278369140625","6630.278369140625","2619","2619","2619","3077.575","3077.575","3077.575","2619","2619","2619","5269.425","5269.425","5269.425","","","","","","","1309","1309","1309","6183.869775390625","6183.869775390625","6183.869775390625","2619","2619","2619","4829.925048828125","4829.925048828125","4829.925048828125","2619","2619","2619","3116.625","3116.625","3116.625"
"0.41916167664670656","916","916","916","7075.923388671875","7075.923388671875","7075.923388671875","","","","","","","","","","","","","","","","","","","916","916","916","6470.3583984375","6470.3583984375","6470.3583984375","","","","","","","","","","","","","","","","","",""
"0.42","","","","","","","","","","","","","2750","2750","2750","2918.675","2918.675","2918.675","2750","2750","2750","5139.59169921875","5139.59169921875","5139.59169921875","","","","","","","","","","","","","2750","2750","2750","4588.783349609375","4588.783349609375","4588.783349609375","2750","2750","2750","2796.15","2796.15","2796.15"
"0.44","","","","","","","1440","1440","1440","7152.827978515625","7152.827978515625","7152.827978515625","2881","2881","2881","3079","3079","3079","2881","2881","2881","5172.475","5172.475","5172.475","","","","","","","1440","1440","1440","5991.700146484375","5991.700146484375","5991.700146484375","2881","2881","2881","4385.01669921875","4385.01669921875","4385.01669921875","2881","2881","2881","2818.125","2818.125","2818.125"
"0.46","","","","","","","","","","","","","3012","3012","3012","3066.125","3066.125","3066.125","3012","3012","3012","4166.31669921875","4166.31669921875","4166.31669921875","","","","","","","","","","","","","3012","3012","3012","5269.54169921875","5269.54169921875","5269.54169921875","3012","3012","3012","2821.65","2821.65","2821.65"
"0.47904191616766467","1047","1047","1047","7989.3595703125","7989.3595703125","7989.3595703125","","","","","","","","","","","","","","","","","","","1047","1047","1047","7087.82001953125","7087.82001953125","7087.82001953125","","","","","","","","","","","","","","","","","",""
"0.48","","","","","","","1571","1571","1571","7391.85673828125","7391.85673828125","7391.85673828125","3143","3143","3143","3230.6","3230.6","3230.6","3143","3143","3143","4319.44169921875","4319.44169921875","4319.44169921875","","","","","","","1571","1571","1571","6325.79970703125","6325.79970703125","6325.79970703125","3143","3143","3143","5067.666674804687","5067.666674804687","5067.666674804687","3143","3143","3143","2338.05","2338.05","2338.05"
"0.5","","","","","","","","","","","","","3274","3274","3274","3697.025","3697.025","3697.025","3274","3274","3274","4212.225","4212.225","4212.225","","","","","","","","","","","","","3274","3274","3274","5043.21669921875","5043.21669921875","5043.21669921875","3274","3274","3274","2204.825","2204.825","2204.825"
"0.52","","","","","","","1702","1702","1702","6215.656298828125","6215.656298828125","6215.656298828125","3405","3405","3405","3819.275","3819.275","3819.275","3405","3405","3405","4620.025","4620.025","4620.025","","","","","","","1702","1702","1702","5482.519311523438","5482.519311523438","5482.519311523438","3405","3405","3405","5186.750048828125","5186.750048828125","5186.750048828125","3405","3405","3405","2505.625","2505.625","2505.625"
"0.5389221556886228","1178","1178","1178","6997.131689453125","6997.131689453125","6997.131689453125","","","","","","","","","","","","","","","","","","","1178","1178","1178","7374.033349609375","7374.033349609375","7374.033349609375","","","","","","","","","","","","","","","","","",""
"0.54","","","","","","","","","","","","","3536","3536","3536","3902.325","3902.325","3902.325","3536","3536","3536","5521.71669921875","5521.71669921875","5521.71669921875","","","","","","","","","","","","","3536","3536","3536","5958.475","5958.475","5958.475","3536","3536","3536","2219.175","2219.175","2219.175"
"0.56","","","","","","","1833","1833","1833","6821.23017578125","6821.23017578125","6821.23017578125","3667","3667","3667","3962.325","3962.325","3962.325","3667","3667","3667","6051.06669921875","6051.06669921875","6051.06669921875","","","","","","","1833","1833","1833","6297.42431640625","6297.42431640625","6297.42431640625","3667","3667","3667","5548.058349609375","5548.058349609375","5548.058349609375","3667","3667","3667","2429.85","2429.85","2429.85"
"0.58","","","","","","","","","","","","","3798","3798","3798","3794.975","3794.975","3794.975","3798","3798","3798","5242.325","5242.325","5242.325","","","","","","","","","","","","","3798","3798","3798","3941.475","3941.475","3941.475","3798","3798","3798","2291.3","2291.3","2291.3"
"0.5988023952095808","1309","1309","1309","6899.261474609375","6899.261474609375","6899.261474609375","","","","","","","","","","","","","","","","","","","1309","1309","1309","8542.31669921875","8542.31669921875","8542.31669921875","","","","","","","","","","","","","","","","","",""
"0.6","","","","","","","1964","1964","1964","6914.4853515625","6914.4853515625","6914.4853515625","3929","3929","3929","3775.225","3775.225","3775.225","3929","3929","3929","5614.4","5614.4","5614.4","","","","","","","1964","1964","1964","6054.646923828125","6054.646923828125","6054.646923828125","3929","3929","3929","4313.75","4313.75","4313.75","3929","3929","3929","1811.85","1811.85","1811.85"
"0.62","","","","","","","","","","","","","4060","4060","4060","3803.7","3803.7","3803.7","4060","4060","4060","5585.325","5585.325","5585.325","","","","","","","","","","","","","4060","4060","4060","4573.775","4573.775","4573.775","4060","4060","4060","1651.925","1651.925","1651.925"
"0.64","","","","","","","2095","2095","2095","7042.13837890625","7042.13837890625","7042.13837890625","4191","4191","4191","3924.925","3924.925","3924.925","4191","4191","4191","4963.075","4963.075","4963.075","","","","","","","2095","2095","2095","6354.967626953125","6354.967626953125","6354.967626953125","4191","4191","4191","3771.583349609375","3771.583349609375","3771.583349609375","4191","4191","4191","1599.05","1599.05","1599.05"
"0.6586826347305389","1440","1440","1440","7896.44169921875","7896.44169921875","7896.44169921875","","","","","","","","","","","","","","","","","","","1440","1440","1440","7483.855029296875","7483.855029296875","7483.855029296875","","","","","","","","","","","","","","","","","",""
"0.66","","","","","","","","","","","","","4322","4322","4322","4344.3","4344.3","4344.3","4322","4322","4322","4797.6","4797.6","4797.6","","","","","","","","","","","","","4322","4322","4322","3810.1","3810.1","3810.1","4322","4322","4322","1656.95","1656.95","1656.95"
"0.68","","","","","","","2226","2226","2226","6265.982568359375","6265.982568359375","6265.982568359375","4453","4453","4453","4924.325","4924.325","4924.325","4453","4453","4453","4958.525","4958.525","4958.525","","","","","","","2226","2226","2226","5572.6947265625","5572.6947265625","5572.6947265625","4453","4453","4453","2791.425","2791.425","2791.425","4453","4453","4453","1753.3","1753.3","1753.3"
"0.7","","","","","","","","","","","","","4584","4584","4584","5093.75","5093.75","5093.75","4584","4584","4584","4891.3","4891.3","4891.3","","","","","","","","","","","","","4584","4584","4584","2934.625","2934.625","2934.625","4584","4584","4584","2283.858349609375","2283.858349609375","2283.858349609375"
"0.718562874251497","1571","1571","1571","7145.690869140625","7145.690869140625","7145.690869140625","","","","","","","","","","","","","","","","","","","1571","1571","1571","6499.092236328125","6499.092236328125","6499.092236328125","","","","","","","","","","","","","","","","","",""
"0.72","","","","","","","2357","2357","2357","6622.7208984375","6622.7208984375","6622.7208984375","4715","4715","4715","5275.175","5275.175","5275.175","4715","4715","4715","4927.275","4927.275","4927.275","","","","","","","2357","2357","2357","5400.33759765625","5400.33759765625","5400.33759765625","4715","4715","4715","2715.075","2715.075","2715.075","4715","4715","4715","2330.2666748046877","2330.2666748046877","2330.2666748046877"
"0.74","","","","","","","","","","","","","4846","4846","4846","4775.975","4775.975","4775.975","4846","4846","4846","4456.65","4456.65","4456.65","","","","","","","","","","","","","4846","4846","4846","2511.65","2511.65","2511.65","4846","4846","4846","2584.05","2584.05","2584.05"
"0.76","","","","","","","2488","2488","2488","6768.99921875","6768.99921875","6768.99921875","4977","4977","4977","3905.175","3905.175","3905.175","4977","4977","4977","4935.125","4935.125","4935.125","","","","","","","2488","2488","2488","5461.967333984375","5461.967333984375","5461.967333984375","4977","4977","4977","2459.275","2459.275","2459.275","4977","4977","4977","2232.125","2232.125","2232.125"
"0.7784431137724551","1702","1702","1702","7575.884912109375","7575.884912109375","7575.884912109375","","","","","","","","","","","","","","","","","","","1702","1702","1702","8303.779296875","8303.779296875","8303.779296875","","","","","","","","","","","","","","","","","",""
"0.78","","","","","","","","","","","","","5108","5108","5108","3771.3","3771.3","3771.3","5108","5108","5108","5512.975","5512.975","5512.975","","","","","","","","","","","","","5108","5108","5108","2939.225","2939.225","2939.225","5108","5108","5108","2402.525","2402.525","2402.525"
"0.8","","","","","","","2619","2619","2619","6514.2083984375","6514.2083984375","6514.2083984375","5239","5239","5239","3568.5","3568.5","3568.5","5239","5239","5239","5880.300048828125","5880.300048828125","5880.300048828125","","","","","","","2619","2619","2619","4931.794677734375","4931.794677734375","4931.794677734375","5239","5239","5239","2524.875","2524.875","2524.875","5239","5239","5239","2037.75","2037.75","2037.75"
"0.82","","","","","","","","","","","","","5370","5370","5370","3563.35","3563.35","3563.35","5370","5370","5370","5603.2","5603.2","5603.2","","","","","","","","","","","","","5370","5370","5370","2621.6","2621.6","2621.6","5370","5370","5370","1583.075","1583.075","1583.075"
"0.8383233532934131","1833","1833","1833","7784.23759765625","7784.23759765625","7784.23759765625","","","","","","","","","","","","","","","","","","","1833","1833","1833","7804.36728515625","7804.36728515625","7804.36728515625","","","","","","","","","","","","","","","","","",""
"0.84","","","","","","","2750","2750","2750","6000.98427734375","6000.98427734375","6000.98427734375","5501","5501","5501","3438.4","3438.4","3438.4","5501","5501","5501","5580.233349609375","5580.233349609375","5580.233349609375","","","","","","","2750","2750","2750","4768.8625","4768.8625","4768.8625","5501","5501","5501","2401.3","2401.3","2401.3","5501","5501","5501","1487.475","1487.475","1487.475"
"0.86","","","","","","","","","","","","","5632","5632","5632","3852.875","3852.875","3852.875","5632","5632","5632","6242.825","6242.825","6242.825","","","","","","","","","","","","","5632","5632","5632","3153.8","3153.8","3153.8","5632","5632","5632","1533.525","1533.525","1533.525"
"0.88","","","","","","","2881","2881","2881","6550.25751953125","6550.25751953125","6550.25751953125","5763","5763","5763","4061.35","4061.35","4061.35","5763","5763","5763","6646.6","6646.6","6646.6","","","","","","","2881","2881","2881","4345.49111328125","4345.49111328125","4345.49111328125","5763","5763","5763","2944.6","2944.6","2944.6","5763","5763","5763","1096.775","1096.775","1096.775"
"0.8982035928143712","1964","1964","1964","7604.210400390625","7604.210400390625","7604.210400390625","","","","","","","","","","","","","","","","","","","1964","1964","1964","7514.7236328125","7514.7236328125","7514.7236328125","","","","","","","","","","","","","","","","","",""
"0.9","","","","","","","","","","","","","5894","5894","5894","3790.15","3790.15","3790.15","5894","5894","5894","6268.9833984375","6268.9833984375","6268.9833984375","","","","","","","","","","","","","5894","5894","5894","3916","3916","3916","5894","5894","5894","1232.875","1232.875","1232.875"
"0.92","","","","","","","3012","3012","3012","6608.071728515625","6608.071728515625","6608.071728515625","6025","6025","6025","3821.975","3821.975","3821.975","6025","6025","6025","6222.800048828125","6222.800048828125","6222.800048828125","","","","","","","3012","3012","3012","5128.192919921875","5128.192919921875","5128.192919921875","6025","6025","6025","3368.475","3368.475","3368.475","6025","6025","6025","1441.825","1441.825","1441.825"
"0.94","","","","","","","","","","","","","6156","6156","6156","3641.625","3641.625","3641.625","6156","6156","6156","6721.733349609375","6721.733349609375","6721.733349609375","","","","","","","","","","","","","6156","6156","6156","2827.85","2827.85","2827.85","6156","6156","6156","1290.4","1290.4","1290.4"
